ID,cluster,Tema_Cluster,ementa detalhada
11,38,Direitos Humanos e Minorias,Altera a Lei nº 9.795 de 1999.
42,14,Trabalho e Emprego,"Altera a Lei nº 9.478, de 1997; a Lei nº 9.991, de 2000; e a Lei nº 10.438, de 2002."
62,47,Direitos Humanos e Minorias,"Altera as Leis nº 14.284, de 2021; 7.998 de 1990; 13.667 de 2018; 9.394 de 1996; 14.118 de 2021; 12.587 de 2012 e o Decreto-Lei nº 5.452, de 1943."
67,34,Direito Penal e Processual Penal,"Altera a Lei nº 12.858, de 2013."
83,30,Finanças Públicas e Orçamento,Revoga a Lei nº 6.259 de 1975.
131,19,Direito e Defesa do Consumidor,Altera a Lei nº 8.078 de 1990.
138,0,Trabalho e Emprego,Altera a Lei nº 8.212 de 1991.
141,36,Finanças Públicas e Orçamento,Altera a Lei nº 9.250 de 1995.
164,47,Direitos Humanos e Minorias,Altera a Lei nº 10.438 de 2002.
206,30,Finanças Públicas e Orçamento,Altera a Lei nº 11.126 de 2005.
236,26,Direitos Humanos e Minorias,Altera as Leis nº 10.696 de 2003 e 11.718 de 2008.
263,27,Direito Civil e Processual Civil,Altera as Leis nº 10.406 de 2002 e 13.105 de 2015.
280,30,Finanças Públicas e Orçamento,Altera a Lei nº 10.925 de 2004.
391,29,Direitos Humanos e Minorias,"Altera a Lei nº 6.015, de 1973 e a Lei nº 8.677, de 1993."
393,18,Processo Legislativo e Atuação Parlamentar,"Criação,"
418,40,Direito e Defesa do Consumidor,"Altera a Lei nº 7.998, de 1990."
556,31,Defesa e Segurança,"ação,"
577,16,Direito Civil e Processual Civil,"Altera a Lei nº 14.129, de 2021."
578,27,Direito Civil e Processual Civil,"Altera a Lei nº 10.438, de 2002."
581,39,Direito Penal e Processual Penal,"Altera a Lei nº 9.504, de 1997."
582,34,Direito Penal e Processual Penal,"Altera a Lei nº 12.514, de 2011."
583,8,Direito Penal e Processual Penal,"Altera o Decreto-lei nº 3.689, de 1941."
597,35,Direitos Humanos e Minorias,Altera a Lei nº10.260 de 2001.
599,5,Trabalho e Emprego,"a profissional,"
646,8,Direito Penal e Processual Penal,Altera o Decreto-lei nº 2.848 de 1940.
699,43,Meio Ambiente e Desenvolvimento Sustentável,Altera a Lei nº 9.296 de 1996.
701,35,Direitos Humanos e Minorias,"Altera as Leis nº 9.250 de 1995, 9.532 de 1997 e 13.800  de 2019."
708,0,Trabalho e Emprego,Altera as Leis nº 9.427 de 1996; 9.991 de 2000; 10.848 de 2004 e 14.182 de 2021.
715,38,Direitos Humanos e Minorias,Altera a Lei nº 10.446 de 2002.
733,31,Defesa e Segurança,Altera a Lei nº 7.210 de 1984.
746,0,Trabalho e Emprego,Altera as Leis nº 10.260 de 2001 e 9.250 de 1995.
756,30,Finanças Públicas e Orçamento,Altera a Lei nº 9.984 de 2000.
782,47,Direitos Humanos e Minorias,Altera a Lei nº 9.906 de 1994.
802,1,Direito Civil e Processual Civil,Altera a Lei nº 8.080 de 1990.
803,7,Finanças Públicas e Orçamento,Altera as Leis nº 10.848 de 2004 e 13.576 de 2017.
819,8,Direito Penal e Processual Penal,Altera o Decreto-lei nº 3.689 de 1941.
833,1,Direito Civil e Processual Civil,Altera as Leis nº 13.465 de 2017 e 10.406 de 2002.
837,29,Direitos Humanos e Minorias,Altera as Leis nº 10.257 de 2001; 9.807 de 1999 e 12.527 de 2011.
840,47,Direitos Humanos e Minorias,Altera as Leis nº 9.612 de 1998; 9.998 de 2000 e 9.790 de 1999.
842,12,Direito Penal e Processual Penal,Altera a Lei nº 5.655 de 1971.
843,42,Direitos Humanos e Minorias,Altera a Lei nº 9.394 de 1996.
847,47,Direitos Humanos e Minorias,Altera a Lei nº 9.393 de 1996.
849,0,Trabalho e Emprego,Alter o Decreto-lei nº 5.452 de 1943.
878,43,Meio Ambiente e Desenvolvimento Sustentável,Altera a Lei nº 9.605 de 1998.
893,10,Direito Civil e Processual Civil,Altera a Lei nº 10.406 de 2002.
898,36,Finanças Públicas e Orçamento,Altera a Lei nº  9.250 de 1995.
901,25,Finanças Públicas e Orçamento,Altera a Lei nº 12.973 de 2014.
903,8,Direito Penal e Processual Penal,Altera o Decreto-lei nº 3.689 de 1941.
956,42,Direitos Humanos e Minorias,Altera a Lei nº 9.610 de 1998.
969,42,Direitos Humanos e Minorias,Altera a Lei nº 12.514 de 2011.
983,16,Direito Civil e Processual Civil,Altera a Lei nº 13.105 de 2015.
988,30,Finanças Públicas e Orçamento,Altera as Leis nº 10.925 de 2004; 12.546 de 2011 e 9.430 de 1996.
989,37,Energia,Altera as Leis nº 13.105 de 2015 e 90.99 de 1995 e os Decretos-Lei nº 5.452 de 1943 e  3.689 de 1941.
996,0,Trabalho e Emprego,Altera as Leis nº  12.587 de 2012 e 9.503 de 1997.
1047,15,Direitos Humanos e Minorias,Altera as Leis nº 8.069 de 1990 e  9.250 de 1995.
1061,49,Direito Civil e Processual Civil,"Proíbe a criação e a venda de animais cujos cruzamentos genéticos provoquem prejuízos à saúde e ao bem-estar da prole, ou que perpetuem problemas de saúde pré-existentes dos progenitores."
1067,30,Finanças Públicas e Orçamento,Altera a Lei nº 12.711 de 2012.
1091,17,Comunicações,Altera as Leis nº 8.429 de 1992 e 1.079 de 1950.
1092,36,Finanças Públicas e Orçamento,Altera a Lei nº 8.989 de 1995.
1104,20,Direitos Humanos e Minorias,Altera a Lei nº 9.472 de 1997.
1105,7,Finanças Públicas e Orçamento,"Altera a Lei nº 10.925, de 2004 e a Lei nº 11.051, de 2004."
1108,12,Direito Penal e Processual Penal,Altera as Leis nº 10.741 de 2003 e 12.587 de 2012.
1115,7,Finanças Públicas e Orçamento,Altera o Decreto-lei nº 1.001 de 1969.
