ID,ementa detalhada,temas,sub_ementas,tokens_temas,tema_principal,similaridade,cluster,Tema_Cluster
11,Altera a Lei nº 9.795 de 1999.,"Defesa e Segurança, Meio Ambiente e Desenvolvimento Sustentável, Trabalho e Emprego",['Altera a Lei nº 9.795 de 1999.'],"['Defesa e Segurança', 'Meio Ambiente e Desenvolvimento Sustentável', 'Trabalho e Emprego']",Defesa e Segurança,0.40171995759010315,38,Direitos Humanos e Minorias
42,"Altera a Lei nº 9.478, de 1997; a Lei nº 9.991, de 2000; e a Lei nº 10.438, de 2002.","Energia, Recursos Hídricos e Minerais","['Altera a Lei nº 9.478', 'de 1997', 'a Lei nº 9.991', 'de 2000', 'e a Lei nº 10.438', 'de 2002.']","['Energia', 'Recursos Hídricos e Minerais']",Energia,0.38816921131030935,14,Trabalho e Emprego
62,"Altera as Leis nº 14.284, de 2021; 7.998 de 1990; 13.667 de 2018; 9.394 de 1996; 14.118 de 2021; 12.587 de 2012 e o Decreto-Lei nº 5.452, de 1943.",Direitos Humanos e Minorias,"['Altera as Leis nº 14.284', 'de 2021', '7.998 de 1990', '13.667 de 2018', '9.394 de 1996', '14.118 de 2021', '12.587 de 2012 e o Decreto-Lei nº 5.452', 'de 1943.']",['Direitos Humanos e Minorias'],Direitos Humanos e Minorias,0.414472847951181,47,Direitos Humanos e Minorias
67,"Altera a Lei nº 12.858, de 2013.","Direitos Humanos e Minorias, Viação, Transporte e Mobilidade","['Altera a Lei nº 12.858', 'de 2013.']","['Direitos Humanos e Minorias', 'Viação', 'Transporte e Mobilidade']",Direitos Humanos e Minorias,0.46560324033101397,34,Direito Penal e Processual Penal
83,Revoga a Lei nº 6.259 de 1975.,"Administração Pública, Direitos Humanos e Minorias, Saúde",['Revoga a Lei nº 6.259 de 1975.'],"['Administração Pública', 'Direitos Humanos e Minorias', 'Saúde']",Administração Pública,0.4154280126094818,30,Finanças Públicas e Orçamento
131,Altera a Lei nº 8.078 de 1990.,"Direito e Defesa do Consumidor, Direitos Humanos e Minorias, Indústria, Comércio e Serviços",['Altera a Lei nº 8.078 de 1990.'],"['Direito e Defesa do Consumidor', 'Direitos Humanos e Minorias', 'Indústria', 'Comércio e Serviços']",Direito e Defesa do Consumidor,0.4836379885673523,19,Direito e Defesa do Consumidor
138,Altera a Lei nº 8.212 de 1991.,"Finanças Públicas e Orçamento, Indústria, Comércio e Serviços, Previdência e Assistência Social, Trabalho e Emprego, Turismo",['Altera a Lei nº 8.212 de 1991.'],"['Finanças Públicas e Orçamento', 'Indústria', 'Comércio e Serviços', 'Previdência e Assistência Social', 'Trabalho e Emprego', 'Turismo']",Finanças Públicas e Orçamento,0.43205392360687256,0,Trabalho e Emprego
141,Altera a Lei nº 9.250 de 1995.,"Finanças Públicas e Orçamento, Saúde",['Altera a Lei nº 9.250 de 1995.'],"['Finanças Públicas e Orçamento', 'Saúde']",Finanças Públicas e Orçamento,0.4242953062057495,36,Finanças Públicas e Orçamento
164,Altera a Lei nº 10.438 de 2002.,"Direitos Humanos e Minorias, Energia, Recursos Hídricos e Minerais",['Altera a Lei nº 10.438 de 2002.'],"['Direitos Humanos e Minorias', 'Energia', 'Recursos Hídricos e Minerais']",Direitos Humanos e Minorias,0.41108575463294983,47,Direitos Humanos e Minorias
206,Altera a Lei nº 11.126 de 2005.,Direitos Humanos e Minorias,['Altera a Lei nº 11.126 de 2005.'],['Direitos Humanos e Minorias'],Direitos Humanos e Minorias,0.4187353849411011,30,Finanças Públicas e Orçamento
