Tema,Clusters,Frequência Total,Percentual Total
Direito Penal e Processual Penal,"[8, 12, 23, 34, 39, 41]",124,27.19
Direitos Humanos e Minorias,"[15, 20, 26, 28, 29, 35, 38, 42, 45, 47]",104,22.81
Finanças Públicas e Orçamento,"[3, 6, 7, 11, 25, 30, 36]",68,14.91
Direito Civil e Processual Civil,"[1, 9, 10, 16, 27, 49]",52,11.4
Trabalho e Emprego,"[0, 5, 14]",27,5.92
Direito e Defesa do Consumidor,"[19, 32, 33, 40]",22,4.82
Meio Ambiente e Desenvolvimento Sustentável,[43],16,3.51
Educação,"[4, 13, 22, 44]",15,3.29
Viação,[48],8,1.75
Defesa e Segurança,"[2, 31]",7,1.54
Saúde,"[21, 24]",4,0.88
Energia,[37],3,0.66
Processo Legislativo e Atuação Parlamentar,[18],3,0.66
Comunicações,[17],2,0.44
Administração Pública,[46],1,0.22
